2015-07-09 06:28:55 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-8 | 1436394535 | {"client_id":"app61","redirect_uri":"http:\/\/scm.yannyo.com\/login\/callback","response_type":"code","src_forget":"http:\/\/scm.yannyo.com\/login\/forget","src_register":"http:\/\/scm.yannyo.com\/login\/register","_module":"oauth","_action":"authorize"}
2015-07-09 06:28:55 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-4 | 1436394535 | {"client_id":"app61","redirect_uri":"http:\/\/scm.yannyo.com\/login\/callback","response_type":"code","src_forget":"http:\/\/scm.yannyo.com\/login\/forget","src_register":"http:\/\/scm.yannyo.com\/login\/register","_module":"oauth","_action":"authorize"}
2015-07-09 06:28:55 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-5 | 1436394535 | {"client_id":"app61","redirect_uri":"http:\/\/scm.yannyo.com\/login\/callback","response_type":"code","src_forget":"http:\/\/scm.yannyo.com\/login\/forget","src_register":"http:\/\/scm.yannyo.com\/login\/register","_module":"oauth","_action":"authorize"}
2015-07-09 07:04:21 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-1 | 1436396661 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-07-09 07:04:21 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-2 | 1436396661 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-07-09 07:04:21 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-8-pre | 1436396661 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-07-09 07:04:22 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-8 | 1436396662 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-07-09 07:28:46 | 192.168.0.1 | /index.php/robots.txt |robots.txt模块不存在
2015-07-09 07:28:47 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-1 | 1436398127 | {"response_type":"code","client_id":"80002001","redirect_uri":"http:\/\/dev.dbowner.com\/account\/ReCall","_module":"oauth","_action":"authorize"}
2015-07-09 07:28:47 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-2 | 1436398127 | {"response_type":"code","client_id":"80002001","redirect_uri":"http:\/\/dev.dbowner.com\/account\/ReCall","_module":"oauth","_action":"authorize"}
2015-07-09 07:28:47 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-8-pre | 1436398127 | {"response_type":"code","client_id":"80002001","redirect_uri":"http:\/\/dev.dbowner.com\/account\/ReCall","_module":"oauth","_action":"authorize"}
2015-07-09 07:28:47 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-8 | 1436398127 | {"response_type":"code","client_id":"80002001","redirect_uri":"http:\/\/dev.dbowner.com\/account\/ReCall","_module":"oauth","_action":"authorize"}
2015-07-09 07:28:47 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-4 | 1436398127 | {"response_type":"code","client_id":"80002001","redirect_uri":"http:\/\/dev.dbowner.com\/account\/ReCall","_module":"oauth","_action":"authorize"}
2015-07-09 07:28:47 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-5 | 1436398127 | {"response_type":"code","client_id":"80002001","redirect_uri":"http:\/\/dev.dbowner.com\/account\/ReCall","_module":"oauth","_action":"authorize"}
