2015-06-26 09:29:06 | 218.106.146.80 | /index.php/index/login | index-login-3 | 1435282146 | {"ident":"oauthlogin","client_id":"app63","redirect_uri":"http:\/\/tteam.yannyo.com\/login\/callback","response_type":"code","bg_trans":"1","src_forget":"http:\/\/tteam.yannyo.com\/login\/forget","src_register":"http:\/\/tteam.yannyo.com\/login\/register","oa_tpl":"web_wide","apppermissions":"","_module":"index","_action":"login"}
2015-06-26 09:29:06 | 218.106.146.80 | /index.php/index/login | index-login-4 | 1435282146 | {"ident":"oauthlogin","client_id":"app63","redirect_uri":"http:\/\/tteam.yannyo.com\/login\/callback","response_type":"code","bg_trans":"1","src_forget":"http:\/\/tteam.yannyo.com\/login\/forget","src_register":"http:\/\/tteam.yannyo.com\/login\/register","oa_tpl":"web_wide","apppermissions":"","_module":"index","_action":"login"}
2015-06-26 09:29:08 | 218.106.146.80 | /index.php/index/loginThirdParty | index-loginThirdParty-1 | 1435282148 | {"provider":"QQ","_module":"index","_action":"loginThirdParty"}
2015-06-26 09:29:08 | 218.106.146.80 | /index.php/index/loginThirdParty | index-loginThirdParty-2 | 1435282148 | {"provider":"QQ","_module":"index","_action":"loginThirdParty"}
2015-06-26 09:29:08 | 218.106.146.80 | /index.php/index/loginThirdParty | index-loginThirdParty-3 | 1435282148 | {"provider":"QQ","_module":"index","_action":"loginThirdParty"}
2015-06-26 09:29:11 | 218.106.146.80 | /index.php/oauth/authorize | oauth-authorize-1 | 1435282151 | {"client_id":"app63","redirect_uri":"http:\/\/tteam.yannyo.com\/login\/callback","response_type":"code","bg_trans":"1","src_forget":"http:\/\/tteam.yannyo.com\/login\/forget","src_register":"http:\/\/tteam.yannyo.com\/login\/register","_module":"oauth","_action":"authorize"}
2015-06-26 09:29:11 | 218.106.146.80 | /index.php/oauth/authorize | oauth-authorize-2 | 1435282151 | {"client_id":"app63","redirect_uri":"http:\/\/tteam.yannyo.com\/login\/callback","response_type":"code","bg_trans":"1","src_forget":"http:\/\/tteam.yannyo.com\/login\/forget","src_register":"http:\/\/tteam.yannyo.com\/login\/register","_module":"oauth","_action":"authorize"}
2015-06-26 09:29:11 | 218.106.146.80 | /index.php/oauth/authorize | oauth-authorize-8-pre | 1435282151 | {"client_id":"app63","redirect_uri":"http:\/\/tteam.yannyo.com\/login\/callback","response_type":"code","bg_trans":"1","src_forget":"http:\/\/tteam.yannyo.com\/login\/forget","src_register":"http:\/\/tteam.yannyo.com\/login\/register","_module":"oauth","_action":"authorize"}
2015-06-26 09:29:11 | 218.106.146.80 | /index.php/oauth/authorize | oauth-authorize-8 | 1435282151 | {"client_id":"app63","redirect_uri":"http:\/\/tteam.yannyo.com\/login\/callback","response_type":"code","bg_trans":"1","src_forget":"http:\/\/tteam.yannyo.com\/login\/forget","src_register":"http:\/\/tteam.yannyo.com\/login\/register","_module":"oauth","_action":"authorize"}
2015-06-26 09:29:11 | 218.106.146.80 | /index.php/oauth/authorize | oauth-authorize-4 | 1435282151 | {"client_id":"app63","redirect_uri":"http:\/\/tteam.yannyo.com\/login\/callback","response_type":"code","bg_trans":"1","src_forget":"http:\/\/tteam.yannyo.com\/login\/forget","src_register":"http:\/\/tteam.yannyo.com\/login\/register","_module":"oauth","_action":"authorize"}
2015-06-26 09:29:11 | 218.106.146.80 | /index.php/oauth/authorize | oauth-authorize-5 | 1435282151 | {"client_id":"app63","redirect_uri":"http:\/\/tteam.yannyo.com\/login\/callback","response_type":"code","bg_trans":"1","src_forget":"http:\/\/tteam.yannyo.com\/login\/forget","src_register":"http:\/\/tteam.yannyo.com\/login\/register","_module":"oauth","_action":"authorize"}
